Код филиала,Название,"Адрес, строка 1","Адрес, строка 2",Город,Район,Область/край,Страна,Индекс,Основной номер телефона,Веб-сайт,Основная категория,Дополнительные категории,Часы работы,Изображения,Описание,Доп. телефон,Моб. телефон,Ярлыки,"Номер телефона для расширения ""Адреса"" в AdWords"
2130,Ин-Тайм,"ул. Шевченко, 90",,Харьков,,Харьковская область,UA,00000, (67) 612-46-19,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Харьков Шевченко (склад № 22 до 30кг)",0 (800) 30-09-11,,,
1811,Ин-Тайм,"ул. Островского, 1б",,Острог,,Ровенская область,UA,00000, (67) 619-87-57,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Острог (склад № 1)",0 (800) 30-09-11,,,
1812,Ин-Тайм,"ул. Воробинская, 175",,Дубровица,,Ровенская область,UA,00000, (67) 612-56-58,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Дубровица (склад № 1)",0 (800) 30-09-11,,,
0612,Ин-Тайм,"ул. Вокзальная, 8",,Новоград-Волынский,,Житомирская область,UA,00000, (67) 612-46-87,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:00:18:00,3:08:00:18:00,4:08:00:18:00,5:08:00:18:00,6:08:00:18:00,7:09:00:15:00",,"Новоград-Волынский (склад № 1)",0 (800) 30-09-11,,,
0809,Ин-Тайм,"пр. Ленина, 111",,Запорожье,,Запорожская область,UA,00000, (67) 619-12-88,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Запорожье Юбилейный (склад № 9 до 30кг)",0 (800) 30-09-11,,,
0706,Ин-Тайм,"ул. Коммунальная 3а",,Виноградов,,Закарпатская область,UA,00000, (67) 617-70-01,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Виноградов  (склад № 1)",0 (800) 30-09-11,,,
2606,Ин-Тайм,"ул. Глинки, 2",,Черновцы,,Черновицкая область,UA,00000, (67) 613-91-08,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Черновцы Глинки (склад № 3)",0 (800) 30-09-11,,,
1142,Ин-Тайм,"ул. Вышгородская, 21",,Киев,,Киев,UA,00000, (67) 619-23-42,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Киев Вышгородская (склад № 42)",0 (800) 30-09-11,,,
0843,Ин-Тайм,"ул. Магистральная, 102",,Запорожье,,Запорожская область,UA,00000, (67) 619-24-07,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Запорожье Альпина (склад № 43)",0 (800) 30-09-11,,,
1430,Ин-Тайм,"ул. Сечевых Стрельцов, 16",,Яворов,,Львовская область,UA,00000, (67) 613-91-04,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Яворов (склад № 1)",0 (800) 30-09-11,,,
2313,Ин-Тайм,"ул. Кооперативная, 5",,Хмельницкий,,Хмельницкая область,UA,00000, (67) 613-91-03,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Хмельницкий Гречаны (склад № 3)",0 (800) 30-09-11,,,
2515,Ин-Тайм,"ул. Шевченко, 18",,Новгород-Северский,,Черниговская область,UA,00000, (67) 613-91-02,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Новгород-Северский (склад № 1)",0 (800) 30-09-11,,,
1728,Ин-Тайм,"ул. Карла Маркса, 59б",,Глобино,,Полтавская область,UA,00000, (67) 613-91-01,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Глобино (склад № 1)",0 (800) 30-09-11,,,
2131,Ин-Тайм,"пл. Кононенка, 1",,Харьков,,Харьковская область,UA,00000, (67) 619-24-42,http://www.intime.ua,Почтовая служба,Курьерская служба,"1:08:00:14:00,3:08:00:17:00,4:08:00:17:00,5:08:00:17:00,6:08:00:17:00,7:08:00:14:00",,"Харьков Восток а/р ""Лоск"" (склад № 40)",0 (800) 30-09-11,,,
2132,Ин-Тайм,"ул. Кирова, 17",,Волчанск,,Харьковская область,UA,00000, (67) 613-78-99,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Волчанск (склад № 1)",0 (800) 30-09-11,,,
1634,Ин-Тайм,"ул. Ленина, 108",,Кодыма,,Одесская область,UA,00000, (67) 619-31-80,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Кодыма (склад № 1)",0 (800) 30-09-11,,,
0714,Ин-Тайм,"ул. Карпатская, 37а",,Воловец,,Закарпатская область,UA,00000, (67) 613-90-99,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Воловец (склад № 1)",0 (800) 30-09-11,,,
1404,Ин-Тайм,"ул. Вийтивская гора, 48",,Дрогобыч,,Львовская область,UA,00000, (67) 618-07-17,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:00:18:00,3:08:00:18:00,4:08:00:18:00,5:08:00:18:00,6:08:00:18:00,7:09:00:15:00",,"Дрогобыч  (склад № 1)",0 (800) 30-09-11,,,
0435,Ин-Тайм,"пл. Привокзальная, 19",,Апостолово,,Днепропетровская область,UA,00000, (67) 612-49-03,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:00:17:00,3:08:00:17:00,4:08:00:17:00,5:08:00:17:00,6:08:00:17:00,7:09:00:15:00",,"Апостолово Вокзал (склад № 2 до 30кг)",0 (800) 30-09-11,,,
1022,Ин-Тайм,"Золотоношское шоссе, 4",,Переяслав-Хмельницкий,,Киевская область,UA,00000, (67) 612-51-12,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Переяслав-Хмельницкий (склад № 1)",0 (800) 30-09-11,,,
1023,Ин-Тайм,"ул. Чкалова, 2",,Буча,,Киевская область,UA,00000, (67) 612-50-99,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Буча (склад № 1)",0 (800) 30-09-11,,,
1024,Ин-Тайм,"ул. Гагарина, 8",,Макаров,,Киевская область,UA,00000, (67) 612-49-04,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Макаров (склад № 1)",0 (800) 30-09-11,,,
0220,Ин-Тайм,"Территория сахарного завода, 32",,Бар,,Винницкая область,UA,00000, (67) 612-49-95,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Бар (склад № 1)",0 (800) 30-09-11,,,
1813,Ин-Тайм,"ул. Кременецкая, 26",,Радивилов,,Ровенская область,UA,00000, (67) 613-71-74,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:00:18:00,3:08:00:18:00,4:08:00:18:00,5:08:00:18:00,6:08:00:18:00,7:09:00:15:00",,"Радивилов (склад № 1)",0 (800) 30-09-11,,,
0330,Ин-Тайм,"ул. Луцкая, 14",,Маневичи,,Волынская область,UA,00000, (67) 612-01-54,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Маневичи (склад № 1)",0 (800) 30-09-11,,,
1909,Ин-Тайм,"ул. Кирова, 39ж",,Путивль,,Сумская область,UA,00000, (67) 613-71-73,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Путивль (склад № 1)",0 (800) 30-09-11,,,
1631,Ин-Тайм,"ул. Гагарина, 73",,Кучурган,,Одесская область,UA,00000, (67) 613-71-69,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Кучурган (склад № 1)",0 (800) 30-09-11,,,
1429,Ин-Тайм,"Винники, ул. Ивана Франко, 46",,Львов,,Львовская область,UA,00000, (67) 613-79-07,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Львов Винники (склад № 10)",0 (800) 30-09-11,,,
1139,Ин-Тайм,"ул. Смелянская, 10а",,Киев,,Киев,UA,00000, (67) 613-71-53,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Киев Смелянская (склад № 39)",0 (800) 30-09-11,,,
1140,Ин-Тайм,"ул. Академика Заболотного, 15",,Киев,,Киев,UA,00000, (67) 613-71-61,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Киев Заболотного (склад № 40)",0 (800) 30-09-11,,,
1025,Ин-Тайм,"ул. Красноармейская, 29а",,Тараща,,Киевская область,UA,00000, (67) 613-79-04,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Тараща (склад № 1)",0 (800) 30-09-11,,,
1026,Ин-Тайм,"ул. Советская, 46",,Ставище,,Киевская область,UA,00000, (67) 613-79-06,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Ставище (склад № 1)",0 (800) 30-09-11,,,
1027,Ин-Тайм,"пер. Геофизиков, 12",,Бортничи,,Киевская область,UA,00000, (67) 619-88-87,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Бортничи (склад № 1)",0 (800) 30-09-11,,,
2422,Ин-Тайм,"ул. Мира, 131",,Городище,,Черкасская область,UA,00000, (67) 613-79-11,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:00:18:00,3:08:00:18:00,4:08:00:18:00,5:08:00:18:00,6:08:00:18:00,7:08:00:14:00",,"Городище (склад № 1)",0 (800) 30-09-11,,,
2514,Ин-Тайм,"ул. Черниговская, 41",,Ичня,,Черниговская область,UA,00000, (67) 613-79-01,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Ичня (склад № 1)",0 (800) 30-09-11,,,
1632,Ин-Тайм,"Промрынок 7ой км, Хар. площ склад №440",,Одесса,,Одесская область,UA,00000, (67) 613-79-75,http://www.intime.ua,Почтовая служба,Курьерская служба,"1:07:00:15:00,2:07:00:15:00,3:07:00:15:00,4:07:00:15:00,5:07:00:15:00,7:07:00:15:00",,"Одесса Харьковская 7-ой км (склад № 16 до 30кг)",0 (800) 30-09-11,,,
1028,Ин-Тайм,"ул. Ленина, 108/2",,Гостомель,,Киевская область,UA,00000, (67) 613-78-97,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Гостомель (склад № 1 до 30кг)",0 (800) 30-09-11,,,
1907,Ин-Тайм,"ул. Привокзальная, 1б",,Шостка,,Сумская область,UA,00000, (67) 619-97-76,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Шостка (склад № 1)",0 (800) 30-09-11,,,
1910,Ин-Тайм,"ул. Карпова, 3",,Лебедин,,Сумская область,UA,00000, (67) 613-78-96,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Лебедин (склад № 1)",0 (800) 30-09-11,,,
0806,Ин-Тайм,"Ореховское шоссе, 36",,Запорожье,,Запорожская область,UA,00000, (67) 619-40-07,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:21:00,6:09:00:18:00,7:09:00:15:00",,"Запорожье Ореховский а/р (склад № 6)",0 (800) 30-09-11,,,
1402,Ин-Тайм,"ул. Городоцкая, 355/4",,Львов,,Львовская область,UA,00000, (67) 617-10-30,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Львов Городоцкая (склад № 2)",0 (800) 30-09-11,,,
0431,Ин-Тайм,"ул. Харьковская, 118/6",,Павлоград,,Днепропетровская область,UA,00000, (67) 612-84-81,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Павлоград  Харьковская (склад № 2 до 30кг)",0 (800) 30-09-11,,,
1904,Ин-Тайм,"ул. Семашко, 4б",,Конотоп,,Сумская область,UA,00000, (67) 938-01-86,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Конотоп  (склад № 1)",0 (800) 30-09-11,,,
2517,Ин-Тайм,"ул. Ивана Франка, 46",,Десна,,Черниговская область,UA,00000, (67) 617-37-51,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Десна (склад № 1)",0 (800) 30-09-11,,,
0715,Ин-Тайм,"ул. Мира, 68",,Рахов,,Закарпатская область,UA,00000, (67) 619-22-93,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Рахов (склад № 1)",0 (800) 30-09-11,,,
1330,Ин-Тайм,"квартал Октябрьской Революции, 1а",,Лисичанск,,Луганская область,UA,00000, (67) 610-34-38,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Лисичанск РТИ (склад № 2 до 30кг)",0 (800) 30-09-11,,,
0847,Ин-Тайм,"ул. Горького, 73",,Приазовское,,Запорожская область,UA,00000,  (67) 610-61-25,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Приазовское (склад № 1)",0 (800) 30-09-11,,,
0910,Ин-Тайм,"с.Поляница, ГК Буковель паркинг №1",,Буковель,,Ивано-Франковская область,UA,00000, (67) 612-15-00,http://www.intime.ua,Почтовая служба,Курьерская служба,"1:09:00:16:30,2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:16:30",,"Буковель  (склад № 1)",0 (800) 30-09-11,,,
0830,Ин-Тайм,"ул. Воровского, 42",,Токмак,,Запорожская область,UA,00000, (67) 618-80-21,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:00:18:00,3:08:00:18:00,4:08:00:18:00,5:08:00:18:00,6:08:00:18:00,7:09:00:15:00",,"Токмак (склад № 1)",0 (800) 30-09-11,,,
1104,Ин-Тайм,"ул. Красноткацкая, 76а",,Киев,,Киев,UA,00000, (67) 619-09-90,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Киев Левобережный (склад № 4)",0 (800) 30-09-11,,,
0515,Ин-Тайм,"ул  Петровского, 66",,Артемовск,,Донецкая область,UA,00000, (67) 619-04-03,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Артемовск (склад № 1)",0 (800) 30-09-11,,,
2204,Ин-Тайм,"ул. Заводская, 3б",,Новая Каховка,,Херсонская область,UA,00000, (5549) 5-39-80,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Новая Каховка  (склад № 1)",0 (800) 30-09-11,,,
2303,Ин-Тайм,"Хмельницкое шоссе, 36",,Каменец-Подольский,,Хмельницкая область,UA,00000, (67) 619-22-00,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Каменец-Подольский  (склад № 1)",0 (800) 30-09-11,,,
1601,Ин-Тайм,"ул. Мечникова, 124",,Одесса,,Одесская область,UA,00000, (48) 715-16-12,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Одесса Центр (склад № 1)",0 (800) 30-09-11,,,
0812,Ин-Тайм,"ул. Донецкая, 2а",,Бердянск,,Запорожская область,UA,00000, (67) 619-33-75,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:00:18:00,3:08:00:18:00,4:08:00:18:00,5:08:00:18:00,6:08:00:18:00,7:08:00:15:00",,"Бердянск  (склад № 1)",0 (800) 30-09-11,,,
0429,Ин-Тайм,"ул. Тесленко, 13",,Кривой Рог,,Днепропетровская область,UA,00000, (67) 619-85-70,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Кривой Рог Тесленко (склад № 4 до 30кг)",0 (800) 30-09-11,,,
1125,Ин-Тайм,"ул. Миропольская, 2",,Киев,,Киев,UA,00000, (67) 619-85-73,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Киев Юность (склад № 25 до 30кг)",0 (800) 30-09-11,,,
2128,Ин-Тайм,"проезд Садовый, 2а",,Харьков,,Харьковская область,UA,00000, (67) 619-21-02,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Харьков Садовый проезд (склад № 20 до 30кг)",0 (800) 30-09-11,,,
2129,Ин-Тайм,"Салтовское шоссе, 104а",,Харьков,,Харьковская область,UA,00000, (67) 619-85-74,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Харьков Салтовское шоссе (склад № 21 до 30кг)",0 (800) 30-09-11,,,
0219,Ин-Тайм,"ул. Горького, 94",,Немиров,,Винницкая область,UA,00000, (67) 610-41-74,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Немиров (склад № 1)",0 (800) 30-09-11,,,
0223,Ин-Тайм,"ул .Ленина, 87",,Гнивань,,Винницкая область,UA,00000, (67) 617-68-51,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Гнивань (склад № 1)",0 (800) 30-09-11,,,
0434,Ин-Тайм,"ул. Ленина, 20",,Верховцево,,Днепропетровская область,UA,00000, (67) 619-88-49,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Верховцево (склад № 1)",0 (800) 30-09-11,,,
1727,Ин-Тайм,"ул. Ватутина, 59",,Червонозаводское,,Полтавская область,UA,00000, (67) 619-86-21,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Червонозаводское (склад № 1)",0 (800) 30-09-11,,,
0713,Ин-Тайм,"ул. Борканюка, 2а",,Ясиня,,Закарпатская область,UA,00000, (67) 613-91-07,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Ясиня (склад № 1)",0 (800) 30-09-11,,,
1029,Ин-Тайм,"ул. Вокзальная, 76б",,Буча,,Киевская область,UA,00000, (67) 613-91-06,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Буча Вокзальная (склад № 2 до 30кг)",0 (800) 30-09-11,,,
0708,Ин-Тайм,"ул. Мукачевская, 39",,Свалява,,Закарпатская область,UA,00000, (67) 618-83-67,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Свалява (склад № 1)",0 (800) 30-09-11,,,
1408,Ин-Тайм,"ул. И.Мазепы, 42а",,Трускавец,,Львовская область,UA,00000, (67) 618-83-68,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Трускавец (склад № 1)",0 (800) 30-09-11,,,
1610,Ин-Тайм,"ул. Маяковского, 40е",,Белгород-Днестровский,,Одесская область,UA,00000, (67) 619-33-08,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Белгород-Днестровский  (склад № 1)",0 (800) 30-09-11,,,
2108,Ин-Тайм,"прт Гагарина, 31",,Харьков,,Харьковская область,UA,00000, (67) 619-23-59,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Харьков Кирова (склад № 8 до 30кг)",0 (800) 30-09-11,,,
2403,Ин-Тайм,"ул. Ленина, 186",,Канев,,Черкасская область,UA,00000, (67) 619-32-72,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Канев  (склад № 1)",0 (800) 30-09-11,,,
0819,Ин-Тайм,"ул. Энтузиастов, 27",,Днепрорудный,,Запорожская область,UA,00000, (67) 619-69-50,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Днепрорудный  (склад № 1)",0 (800) 30-09-11,,,
1007,Ин-Тайм,"ул. Кирова, 22а",,Фастов,,Киевская область,UA,00000, (67) 619-49-44,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Фастов (склад № 1)",0 (800) 30-09-11,,,
1321,Ин-Тайм,"ул. Богдана Лищины, 12",,Северодонецк,,Луганская область,UA,00000, (50) 450-12-42,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Северодонецк (склад № 1)",0 (800) 30-09-11,,,
0204,Ин-Тайм,"ул. Киевская, 18",,Жмеринка,,Винницкая область,UA,00000, (67) 612-44-57,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Жмеринка (склад № 1)",0 (800) 30-09-11,,,
1212,Ин-Тайм,"ул. Ленина, 81",,Ульяновка,,Кировоградская область,UA,00000, (67) 618-07-92,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Ульяновка  (склад № 1)",0 (800) 30-09-11,,,
1625,Ин-Тайм,"ул. Уварова, 31а",,Балта,,Одесская область,UA,00000, (67) 611-06-81,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Балта  (склад № 1)",0 (800) 30-09-11,,,
1418,Ин-Тайм,"ул. Полуботка, 9",,Мостиска,,Львовская область,UA,00000, (67) 611-06-77,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Мостиска  (склад № 1)",0 (800) 30-09-11,,,
0202,Ин-Тайм,"ул. Соборная, 11",,Винница,,Винницкая область,UA,00000, (67) 619-78-37,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Винница Соборная (склад № 2)",0 (800) 30-09-11,,,
