Код филиала,Название,"Адрес, строка 1","Адрес, строка 2",Город,Район,Область/край,Страна,Индекс,Основной номер телефона,Веб-сайт,Основная категория,Дополнительные категории,Часы работы,Изображения,Описание,Доп. телефон,Моб. телефон,Ярлыки,"Номер телефона для расширения ""Адреса"" в AdWords"
1004,Ин-Тайм,"ул. Центральная, 57",,Ирпень,,Киевская область,UA,00000, (67) 618-09-63,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Ирпень  (склад № 1)",0 (800) 30-09-11,,,
0510,Ин-Тайм,"ул. Граверная, 3",,Мариуполь,,Донецкая область,UA,00000, (67) 618-06-57,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Мариуполь Левобережный (склад № 2)",0 (800) 30-09-11,,,
1704,Ин-Тайм,"ул. Р. Люксембург, 64",,Полтава,,Полтавская область,UA,00000, (67) 618-06-99,http://www.intime.ua,Почтовая служба,Курьерская служба,пн-пт  8:00-19:00, сб  8:00-14:00, вс  выходной,,"Полтава Сенная (склад № 4)",0 (800) 30-09-11,,,
1804,Ин-Тайм,"ул. Сурмичи, 85",,Дубно,,Ровенская область,UA,00000, (67) 618-09-43,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:00:18:00,3:08:00:18:00,4:08:00:18:00,5:08:00:18:00,6:08:00:18:00,7:09:00:15:00",,"Дубно (склад № 1)",0 (800) 30-09-11,,,
0209,Ин-Тайм,"ул. Пионерская, 7а",,Ямполь,,Винницкая область,UA,00000, (67) 618-07-71,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Ямполь (склад № 1)",0 (800) 30-09-11,,,
0303,Ин-Тайм,"ул. Луцкая, 81",,Владимир-Волынский,,Волынская область,UA,00000, (67) 618-09-55,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Владимир-Волынский (склад № 1)",0 (800) 30-09-11,,,
1106,Ин-Тайм,"ул. Садовая, 70  110",,Киев,,Киев,UA,00000, (67) 618-07-27,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Киев Авторынок Жуляны (склад № 6 до 30кг)",0 (800) 30-09-11,,,
2107,Ин-Тайм,"ул. Академика Павлова, 148",,Харьков,,Харьковская область,UA,00000, (67) 618-07-52,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Харьков Героев Труда (склад № 7 до 30кг)",0 (800) 30-09-11,,,
2133,Ин-Тайм,"ул. Днепропетровская, 185а",,Мерефа,,Харьковская область,UA,00000, (67) 617-65-82,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Мерефа (склад № 1)",0 (800) 30-09-11,,,
0915,Ин-Тайм,"ул. Пасечная, 35",,Ивано-Франковск,,Ивано-Франковская область,UA,00000, (67) 617-65-79,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Ивано-Франковск Пасечная (склад № 3)",0 (800) 30-09-11,,,
1128,Ин-Тайм,"ул. Марко Вовчок, 18а",,Киев,,Киев,UA,00000, (67) 612-13-84,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Киев Марко Вовчок (склад № 28)",0 (800) 30-09-11,,,
1810,Ин-Тайм,"ул. Советская, 3",,Рокитное,,Ровенская область,UA,00000, (67) 612-87-18,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Рокитное (Ровенская обл.) (склад № 1)",0 (800) 30-09-11,,,
